660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
68373,68824,60744,58972,57743,61122,62416,61365,60138,58140,58693,67924,111956,123273,111948,111921,106019,119994,95373,112966,103383,105060,97048,111672,79842,73555,67892,64610,63574,69581,68741,67829,70672,63009,61373,69424,226,2025-10-14T11:57:05.351-05:00
68371,68812,60767,58990,57742,61131,62418,61381,60137,58150,58691,67943,111935,123298,111963,111947,106014,120004,95370,112925,103398,105073,97042,111676,79839,73548,67869,64613,63584,69587,68751,67835,70675,63016,61377,69417,226,2025-10-14T11:57:05.351-05:00
68379,68825,60767,58983,57734,61136,62400,61389,60129,58149,58703,67940,111964,123302,111979,111963,106016,119979,95366,112949,103426,105089,97072,111658,79846,73563,67900,64609,63576,69571,68757,67841,70672,63030,61380,69405,227,2025-10-14T11:57:05.413-05:00
68366,68793,60736,58958,57731,61128,62411,61376,60152,58161,58724,67927,111939,123267,111948,111976,106018,120018,95405,112965,103434,105096,97073,111690,79821,73557,67877,64601,63568,69595,68736,67840,70680,63033,61385,69428,227,2025-10-14T11:57:05.413-05:00
68363,68805,60729,58951,57742,61124,62406,61395,60137,58150,58720,67933,111946,123319,111947,111958,106018,120007,95398,112959,103437,105088,97089,111699,79823,73566,67873,64592,63563,69596,68774,67842,70678,63027,61403,69430,228,2025-10-14T11:57:05.505-05:00
68365,68810,60771,58986,57742,61136,62430,61366,60151,58147,58712,67937,111960,123344,111995,111988,106040,120007,95392,112941,103399,105110,97095,111701,79853,73579,67884,64618,63561,69595,68757,67848,70668,63027,61391,69425,228,2025-10-14T11:57:05.505-05:00
68378,68827,60785,58990,57755,61141,62439,61387,60155,58152,58711,67947,111972,123330,112016,111993,106035,120027,95393,112970,103439,105115,97086,111681,79844,73580,67893,64633,63566,69595,68760,67842,70675,63030,61391,69444,229,2025-10-14T11:57:05.532-05:00
68372,68832,60776,58990,57741,61146,62426,61401,60152,58152,58693,67929,111937,123353,112048,111979,106036,120033,95427,113002,103454,105114,97100,111703,79833,73582,67906,64612,63562,69603,68775,67853,70698,63029,61385,69424,229,2025-10-14T11:57:05.532-05:00
68367,68803,60715,58939,57721,61133,62437,61409,60169,58167,58740,67956,111953,123327,111975,111992,106037,120042,95439,113005,103465,105129,97101,111700,79837,73582,67885,64607,63565,69599,68781,67853,70697,63052,61405,69426,230,2025-10-14T11:57:05.660-05:00
68368,68804,60713,58926,57714,61130,62437,61423,60191,58188,58734,67952,111936,123330,111959,111991,106040,120097,95459,113024,103488,105158,97138,111715,79831,73579,67881,64610,63568,69625,68790,67855,70716,63058,61421,69460,230,2025-10-14T11:57:05.660-05:00
68360,68792,60693,58910,57703,61121,62422,61432,60198,58193,58743,67957,111952,123334,111976,112011,106064,120073,95471,113045,103492,105153,97149,111725,79835,73591,67872,64605,63571,69636,68802,67872,70718,63068,61429,69451,231,2025-10-14T11:57:05.703-05:00
68374,68787,60696,58910,57706,61128,62432,61437,60190,58200,58754,67983,111958,123330,111999,111987,106069,120105,95476,113051,103501,105171,97151,111741,79849,73598,67890,64618,63575,69622,68801,67887,70735,63079,61436,69454,231,2025-10-14T11:57:05.703-05:00
68386,68818,60720,58907,57703,61141,62449,61439,60187,58189,58749,67991,111996,123388,112008,112018,106082,120126,95465,113080,103525,105184,97161,111751,79884,73612,67898,64614,63575,69638,68809,67885,70728,63084,61451,69466,232,2025-10-14T11:57:05.826-05:00
68376,68819,60699,58908,57709,61139,62472,61439,60214,58208,58757,67976,111964,123405,112013,112007,106105,120111,95503,113106,103530,105196,97168,111750,79862,73620,67904,64606,63586,69646,68828,67914,70726,63094,61447,69461,232,2025-10-14T11:57:05.826-05:00
68380,68816,60679,58897,57690,61140,62460,61447,60208,58213,58775,67989,111986,123379,112001,112016,106078,120103,95492,113101,103539,105205,97177,111758,79870,73640,67889,64614,63586,69644,68824,67914,70750,63088,61458,69473,233,2025-10-14T11:57:05.837-05:00
68379,68821,60709,58906,57701,61142,62470,61477,60212,58210,58771,67987,111980,123404,112044,112068,106103,120153,95522,113112,103537,105204,97198,111770,79882,73622,67906,64624,63584,69668,68838,67920,70742,63095,61448,69475,233,2025-10-14T11:57:05.837-05:00
68381,68829,60709,58902,57699,61138,62480,61472,60204,58225,58784,68001,111999,123419,112049,112054,106117,120162,95532,113119,103563,105206,97189,111767,79891,73645,67928,64622,63589,69661,68844,67923,70763,63106,61471,69472,234,2025-10-14T11:57:05.863-05:00
68395,68834,60688,58901,57708,61153,62483,61476,60240,58236,58789,68003,112007,123416,112019,112064,106144,120177,95567,113162,103576,105223,97179,111773,79878,73646,67914,64612,63613,69671,68852,67934,70774,63102,61458,69484,234,2025-10-14T11:57:05.863-05:00
68391,68802,60686,58893,57703,61146,62494,61473,60250,58216,58794,67992,111982,123422,112031,112074,106153,120181,95552,113158,103554,105216,97188,111767,79876,73657,67903,64620,63602,69673,68850,67946,70770,63113,61447,69474,235,2025-10-14T11:57:05.988-05:00
68377,68819,60681,58889,57703,61146,62486,61489,60236,58243,58793,67983,112004,123429,112024,112083,106146,120225,95572,113168,103590,105207,97207,111754,79876,73668,67926,64635,63614,69681,68869,67949,70782,63132,61472,69482,235,2025-10-14T11:57:05.988-05:00
68401,68830,60676,58891,57702,61165,62487,61497,60215,58240,58791,68003,112009,123446,112025,112093,106158,120222,95592,113197,103557,105214,97206,111753,79891,73674,67930,64642,63605,69680,68873,67961,70762,63128,61467,69477,236,2025-10-14T11:57:06.010-05:00
68393,68813,60679,58880,57710,61170,62510,61516,60258,58245,58812,67995,112015,123425,112015,112083,106185,120227,95579,113162,103584,105236,97197,111791,79900,73662,67915,64625,63626,69697,68886,67943,70791,63124,61483,69459,236,2025-10-14T11:57:06.010-05:00
68414,68837,60687,58895,57702,61169,62500,61505,60267,58248,58796,68006,112037,123472,112059,112102,106164,120247,95588,113181,103589,105220,97200,111757,79935,73697,67946,64650,63628,69696,68879,67966,70793,63125,61484,69489,237,2025-10-14T11:57:06.072-05:00
68406,68853,60688,58900,57704,61172,62506,61508,60259,58265,58799,68024,112062,123480,112085,112103,106186,120257,95604,113219,103597,105234,97198,111764,79929,73712,67959,64654,63637,69709,68894,67975,70783,63132,61488,69473,237,2025-10-14T11:57:06.072-05:00
68433,68851,60673,58881,57708,61156,62536,61527,60262,58268,58816,68036,112048,123498,112061,112116,106164,120274,95608,113206,103612,105252,97208,111774,79952,73712,67956,64642,63615,69719,68885,67977,70802,63148,61501,69503,238,2025-10-14T11:57:06.130-05:00
68441,68852,60673,58875,57698,61171,62525,61527,60267,58272,58822,68044,112040,123512,112069,112113,106190,120253,95616,113223,103608,105255,97214,111794,79933,73731,67958,64647,63629,69724,68895,68005,70814,63147,61500,69512,238,2025-10-14T11:57:06.130-05:00
68427,68858,60715,58918,57750,61192,62524,61501,60243,58250,58802,68053,112049,123516,112125,112161,106234,120268,95598,113207,103596,105240,97195,111808,79948,73730,67982,64668,63656,69716,68911,67983,70816,63136,61505,69501,239,2025-10-14T11:57:06.221-05:00
68464,68939,60925,59105,57891,61260,62496,61412,60172,58191,58788,68026,112129,123615,112366,112254,106338,120239,95550,113141,103587,105178,97203,111791,79996,73741,68078,64747,63705,69721,68874,67967,70786,63125,61472,69504,239,2025-10-14T11:57:06.221-05:00
