660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
55080,57283,55444,57364,58198,65852,57658,54882,57797,61402,62348,53504,108795,99424,113274,131044,130921,167221,160123,135482,129378,154663,142220,125837,55169,49966,54423,61472,59982,73723,64764,53121,58773,64336,61469,51800,211,2025-10-20T12:37:01.761-05:00
55080,57288,55421,57374,58212,65867,57640,54871,57780,61380,62343,53516,108772,99412,113251,131026,130940,167203,160090,135416,129321,154646,142236,125847,55168,49963,54433,61483,59958,73744,64748,53113,58770,64325,61493,51814,211,2025-10-20T12:37:01.761-05:00
55078,57294,55423,57381,58207,65864,57651,54886,57801,61394,62367,53517,108702,99375,113281,131033,130926,167141,160095,135401,129341,154632,142197,125813,55152,49956,54432,61477,59957,73742,64741,53095,58768,64322,61482,51820,212,2025-10-20T12:37:01.799-05:00
55093,57305,55467,57401,58225,65859,57688,54906,57808,61412,62355,53534,108636,99422,113275,131021,130872,167092,160024,135395,129319,154667,142184,125822,55130,49987,54450,61494,59973,73727,64723,53119,58782,64335,61493,51834,212,2025-10-20T12:37:01.799-05:00
55109,57309,55490,57415,58254,65878,57700,54930,57810,61441,62350,53558,108576,99455,113294,131004,130849,167083,159951,135396,129296,154629,142146,125815,55143,49990,54453,61494,59964,73712,64736,53128,58779,64318,61469,51829,213,2025-10-20T12:37:01.862-05:00
55116,57329,55522,57447,58280,65901,57735,54955,57814,61436,62357,53604,108551,99469,113288,131009,130830,167034,159984,135394,129285,154582,142109,125857,55154,50015,54478,61522,59973,73692,64726,53132,58784,64302,61482,51873,213,2025-10-20T12:37:01.862-05:00
55107,57353,55579,57452,58262,65890,57760,54980,57844,61464,62383,53667,108535,99536,113346,130996,130804,166992,159980,135405,129293,154611,142127,125970,55161,50050,54497,61545,59950,73679,64744,53146,58800,64305,61501,51955,214,2025-10-20T12:37:01.916-05:00
55127,57376,55619,57476,58258,65863,57749,54983,57842,61464,62380,53688,108503,99569,113403,130998,130762,166957,159984,135400,129270,154525,142120,125980,55156,50081,54551,61534,59947,73665,64726,53153,58792,64281,61484,51942,214,2025-10-20T12:37:01.916-05:00
55133,57371,55598,57486,58247,65851,57712,54934,57838,61476,62363,53655,108511,99539,113367,130977,130744,166927,159929,135353,129206,154452,142075,125932,55163,50063,54531,61541,59935,73650,64737,53108,58767,64250,61466,51923,215,2025-10-20T12:37:02.006-05:00
55143,57354,55578,57466,58234,65863,57697,54932,57830,61463,62346,53635,108517,99537,113331,130946,130729,166902,159917,135347,129171,154410,142017,125883,55162,50061,54505,61520,59947,73646,64738,53119,58748,64250,61456,51887,215,2025-10-20T12:37:02.006-05:00
55136,57352,55548,57456,58241,65845,57678,54915,57806,61437,62316,53558,108533,99521,113305,130951,130709,166868,159877,135340,129155,154371,141874,125791,55172,50039,54499,61521,59937,73660,64748,53123,58737,64224,61389,51836,216,2025-10-20T12:37:02.104-05:00
55125,57316,55519,57438,58236,65857,57681,54911,57782,61391,62277,53508,108540,99440,113266,130940,130711,166867,159891,135308,129136,154279,141874,125635,55177,50015,54469,61500,59944,73670,64745,53104,58707,64181,61307,51735,216,2025-10-20T12:37:02.104-05:00
55080,57283,55471,57412,58219,65850,57665,54865,57748,61334,62224,53388,108578,99343,113183,130951,130699,166880,159887,135319,129137,154175,141736,125420,55163,49944,54434,61484,59955,73692,64747,53109,58687,64108,61169,51613,217,2025-10-20T12:37:02.126-05:00
55024,57252,55395,57375,58204,65836,57648,54816,57692,61224,62155,53284,108648,99180,113122,130903,130696,166891,159903,135309,129090,154037,141636,125215,55128,49870,54387,61477,59946,73706,64772,53083,58615,64023,61088,51515,217,2025-10-20T12:37:02.126-05:00
54979,57216,55351,57344,58206,65843,57611,54759,57641,61115,62103,53201,108698,99087,113046,130898,130743,166921,159902,135260,129078,153964,141575,125100,55099,49832,54373,61475,59966,73722,64766,53076,58580,63962,61017,51427,218,2025-10-20T12:37:02.242-05:00
54952,57192,55295,57306,58178,65816,57567,54724,57607,61026,62094,53170,108766,99007,112984,130897,130733,166935,159922,135224,129066,153906,141557,125021,55076,49808,54342,61470,59950,73723,64781,53058,58550,63912,61000,51411,218,2025-10-20T12:37:02.242-05:00
54922,57155,55270,57294,58164,65826,57548,54702,57605,60997,62088,53135,108767,98917,112948,130856,130728,166903,159901,135194,129060,153916,141541,125004,55045,49775,54324,61436,59950,73732,64790,53038,58551,63947,61015,51382,219,2025-10-20T12:37:02.244-05:00
54902,57165,55254,57290,58165,65819,57553,54686,57587,60978,62106,53144,108769,98892,112912,130864,130688,166951,159855,135158,129020,153946,141525,124936,55022,49756,54310,61442,59933,73734,64775,53043,58533,63942,61014,51371,219,2025-10-20T12:37:02.244-05:00
54918,57176,55258,57286,58167,65815,57534,54697,57585,61007,62112,53152,108721,98916,112934,130831,130697,166888,159824,135155,129030,153969,141500,124973,55029,49780,54308,61424,59935,73744,64763,53044,58541,63945,61002,51393,220,2025-10-20T12:37:02.343-05:00
54980,57216,55353,57334,58167,65822,57558,54731,57609,61040,62176,53262,108633,99038,112998,130861,130664,166790,159810,135156,128966,153964,141540,125104,55044,49829,54355,61439,59939,73712,64761,53031,58542,63946,61083,51471,220,2025-10-20T12:37:02.343-05:00
55053,57289,55422,57388,58225,65813,57560,54749,57649,61150,62181,53330,108507,99208,113060,130839,130630,166754,159779,135130,128963,153918,141503,125138,55080,49921,54398,61481,59950,73693,64774,53046,58565,63958,61107,51554,221,2025-10-20T12:37:02.429-05:00
55169,57380,55539,57433,58237,65798,57503,54725,57645,61198,62206,53407,108295,99435,113191,130839,130577,166756,159821,135174,128898,153841,141610,125364,55160,50079,54466,61496,59942,73720,64820,53044,58567,63972,61176,51644,221,2025-10-20T12:37:02.429-05:00
55237,57440,55619,57488,58263,65820,57449,54710,57669,61226,62204,53447,108045,99577,113262,130823,130558,166718,159854,135179,128894,153812,141588,125401,55221,50160,54523,61527,59940,73717,64852,53045,58550,64006,61201,51674,222,2025-10-20T12:37:02.482-05:00
