660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
71536,69528,60407,58156,55249,58112,60287,61243,63598,70816,70577,73166,149662,141894,113666,120514,119102,118251,118273,120604,120258,131885,118186,117338,81703,75335,64809,66516,62315,66107,68592,61223,66763,71649,66189,71355,235,2025-10-21T12:42:00.686-05:00
71574,69599,60505,58267,55385,58188,60289,61197,63516,70704,70472,73101,149857,142200,113862,120715,119371,118300,118296,120565,120191,131611,118033,117248,81785,75443,64919,66643,62420,66166,68608,61228,66700,71471,66020,71237,235,2025-10-21T12:42:00.686-05:00
71604,69695,60594,58345,55477,58249,60307,61144,63465,70636,70432,73057,150098,142460,114049,120955,119575,118310,118304,120541,120142,131514,117989,117185,81839,75504,64990,66779,62501,66166,68607,61199,66651,71414,65953,71162,236,2025-10-21T12:42:00.774-05:00
71605,69714,60591,58355,55457,58223,60310,61135,63500,70674,70468,73076,150181,142534,114067,120943,119548,118302,118284,120541,120178,131601,118008,117218,81841,75545,64995,66781,62492,66153,68585,61188,66665,71454,66009,71218,236,2025-10-21T12:42:00.774-05:00
71630,69684,60587,58317,55415,58165,60296,61161,63532,70724,70461,73098,150186,142461,114037,120882,119431,118298,118266,120574,120223,131711,118071,117235,81865,75510,64977,66741,62432,66118,68577,61187,66696,71536,66058,71285,237,2025-10-21T12:42:00.835-05:00
71615,69675,60558,58291,55371,58157,60280,61179,63563,70762,70515,73115,150151,142385,113946,120819,119379,118252,118273,120551,120214,131764,118102,117249,81833,75503,64960,66702,62404,66115,68564,61185,66704,71559,66112,71296,237,2025-10-21T12:42:00.835-05:00
71619,69663,60537,58288,55369,58157,60285,61191,63563,70762,70524,73123,150191,142420,113943,120819,119355,118271,118258,120580,120207,131785,118098,117264,81855,75489,64947,66696,62412,66112,68569,61199,66711,71567,66093,71300,238,2025-10-21T12:42:00.927-05:00
71642,69687,60552,58274,55366,58163,60295,61184,63567,70760,70536,73139,150219,142461,113957,120819,119389,118260,118256,120573,120241,131778,118101,117251,81873,75540,64950,66699,62421,66136,68572,61191,66715,71578,66118,71300,238,2025-10-21T12:42:00.927-05:00
71612,69657,60537,58278,55358,58147,60306,61189,63567,70763,70539,73138,150146,142384,113943,120775,119359,118263,118267,120566,120241,131758,118118,117264,81852,75508,64946,66689,62415,66132,68588,61211,66721,71588,66127,71306,239,2025-10-21T12:42:00.955-05:00
71631,69654,60523,58259,55366,58153,60286,61195,63577,70757,70533,73118,150128,142382,113926,120777,119334,118266,118260,120612,120221,131798,118104,117263,81862,75495,64931,66678,62403,66115,68582,61218,66716,71578,66130,71303,239,2025-10-21T12:42:00.955-05:00
71624,69679,60554,58280,55378,58162,60298,61195,63578,70741,70526,73130,150186,142413,113975,120826,119391,118277,118263,120591,120207,131718,118095,117223,81859,75532,64957,66703,62414,66153,68597,61218,66721,71557,66097,71291,240,2025-10-21T12:42:01.020-05:00
71640,69701,60582,58296,55379,58165,60295,61182,63563,70759,70532,73142,150237,142506,113996,120829,119397,118271,118280,120587,120238,131758,118136,117270,81870,75545,64979,66706,62422,66135,68580,61220,66724,71562,66128,71326,240,2025-10-21T12:42:01.020-05:00
