660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
8007,10556,14001,22729,28386,43282,53538,60524,60768,54040,32096,19438,10115,17358,32232,63658,99028,155230,216113,227545,227361,186366,117121,90339,8575,11406,17261,29774,30919,49116,66163,70211,77147,62871,33380,28391,54,2025-10-20T12:09:35.338-05:00
8025,10625,14000,22739,28372,43349,53676,60638,60902,54178,32144,19470,10061,17359,32236,63697,98973,155456,216455,227874,227669,186813,117253,90485,8582,11415,17241,29762,30911,49208,66349,70386,77328,63050,33439,28427,54,2025-10-20T12:09:35.338-05:00
7991,10589,13955,22722,28372,43455,53841,60778,61034,54306,32154,19460,10102,17346,32181,63551,98918,155682,216824,228229,227954,187120,117344,90516,8519,11392,17217,29754,30895,49344,66564,70577,77529,63206,33462,28456,55,2025-10-20T12:09:35.395-05:00
7999,10625,14016,22750,28372,43571,53983,60934,61163,54395,32128,19441,10083,17347,32196,63607,98913,156008,217214,228524,228195,187337,117353,90446,8535,11382,17241,29740,30881,49500,66761,70756,77711,63317,33455,28415,55,2025-10-20T12:09:35.395-05:00
8011,10590,14009,22765,28370,43621,54102,61041,61286,54519,32183,19479,10129,17365,32202,63598,98877,156072,217499,228832,228475,187684,117505,90588,8531,11392,17280,29751,30894,49565,66920,70961,77882,63479,33546,28424,56,2025-10-20T12:09:35.454-05:00
7996,10581,13993,22710,28374,43608,54109,61074,61303,54586,32238,19506,10075,17334,32108,63441,98805,155817,217441,228809,228486,187849,117669,90738,8550,11374,17211,29691,30887,49500,66914,70928,77864,63527,33588,28452,56,2025-10-20T12:09:35.454-05:00
8026,10566,13964,22642,28323,43309,53478,60459,60795,54315,32177,19534,10087,17289,32045,63271,98748,155038,216094,227303,227155,187195,117474,90852,8541,11372,17184,29628,30827,49025,65990,69887,76895,62985,33467,28467,57,2025-10-20T12:09:35.512-05:00
8013,10591,13948,22620,28235,42818,52554,59586,60136,53871,32068,19506,10064,17269,32070,63340,98771,154206,214229,225311,225575,186164,117082,90728,8549,11325,17160,29630,30742,48416,64714,68589,75799,62288,33260,28430,57,2025-10-20T12:09:35.512-05:00
8034,10599,13933,22626,28218,42590,52165,59228,59892,53771,32064,19510,10096,17312,32057,63411,98782,153865,213525,224548,225106,186058,117096,90824,8542,11365,17142,29628,30727,48128,64185,68095,75435,62127,33256,28439,58,2025-10-20T12:09:35.607-05:00
7992,10563,13899,22625,28219,42725,52393,59417,60103,54016,32090,19506,10079,17290,32018,63231,98678,154236,214194,225157,225639,186819,117355,91007,8581,11384,17142,29556,30706,48299,64520,68447,75759,62477,33363,28440,58,2025-10-20T12:09:35.607-05:00
8031,10595,13950,22668,28251,43049,52852,59820,60409,54240,32058,19502,10060,17293,32082,63332,98616,155390,215386,226194,226400,187389,117272,90693,8521,11359,17124,29612,30712,48831,65153,69031,76231,62801,33366,28368,59,2025-10-20T12:09:35.670-05:00
8013,10604,13974,22726,28308,43468,53245,60145,60668,54449,32070,19517,10099,17322,32169,63619,98584,156903,216396,226976,227045,188012,117264,90657,8557,11398,17209,29694,30690,49386,65705,69485,76611,63076,33378,28400,59,2025-10-20T12:09:35.670-05:00
8019,10578,13998,22714,28277,43660,53506,60381,60873,54657,32110,19541,10101,17314,32139,63542,98451,157514,217022,227577,227615,188722,117472,90811,8573,11397,17186,29652,30690,49629,66018,69775,76893,63361,33463,28437,60,2025-10-20T12:09:35.786-05:00
8029,10613,14013,22766,28293,43960,53797,60616,61085,54823,32095,19525,10090,17354,32125,63559,98383,158465,217756,228166,228114,189165,117432,90710,8558,11416,17196,29690,30692,50000,66410,70115,77185,63567,33457,28412,60,2025-10-20T12:09:35.786-05:00
8014,10605,13988,22781,28280,44132,53959,60744,61214,54937,32113,19546,10089,17335,32167,63656,98287,159119,218262,228481,228397,189587,117442,90711,8552,11403,17198,29687,30667,50236,66607,70253,77309,63693,33462,28400,61,2025-10-20T12:09:35.810-05:00
8037,10605,14011,22763,28252,44242,54040,60804,61284,55054,32125,19538,10100,17308,32163,63620,98190,159543,218456,228630,228542,189955,117562,90805,8541,11370,17215,29688,30632,50362,66688,70305,77365,63816,33523,28417,61,2025-10-20T12:09:35.810-05:00
8030,10581,14012,22745,28253,44357,54105,60874,61361,55145,32138,19561,10087,17274,32115,63581,98111,159984,218759,228798,228735,190289,117538,90802,8530,11353,17185,29683,30618,50514,66775,70370,77441,63923,33513,28434,62,2025-10-20T12:09:35.881-05:00
