660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
10133,14570,22455,32471,61429,73824,70053,68909,58381,45432,35587,18080,13326,27123,56660,92982,190520,264545,251553,289898,269663,149882,128769,70254,10593,15432,25320,33756,53905,87960,82983,83076,67904,50644,44102,26431,190,2025-10-24T15:16:10.201-05:00
10139,14555,22452,32488,61482,73892,70192,69076,58343,45388,35546,18061,13327,27157,56658,92967,190645,264638,251857,290263,269688,149706,128586,70128,10578,15446,25317,33769,53965,88064,83227,83301,67884,50616,44062,26409,190,2025-10-24T15:16:10.201-05:00
10132,14562,22464,32481,61477,73920,70236,69102,58354,45388,35545,18059,13319,27172,56657,92966,190603,264600,251915,290306,269646,149676,128631,70145,10563,15451,25309,33756,53934,88055,83268,83333,67869,50613,44077,26389,191,2025-10-24T15:16:10.291-05:00
10114,14555,22429,32464,61453,73907,70249,69138,58348,45387,35537,18053,13309,27134,56595,92912,190211,264497,251959,290279,269712,149716,128591,70122,10551,15432,25303,33751,53859,88050,83295,83357,67890,50642,44087,26403,191,2025-10-24T15:16:10.291-05:00
10122,14574,22439,32462,61489,73972,70337,69199,58397,45398,35542,18056,13295,27123,56595,92904,190323,264568,252051,290479,269856,149770,128481,70110,10557,15431,25297,33759,53908,88162,83410,83491,67962,50659,44082,26394,192,2025-10-24T15:16:10.363-05:00
10081,14533,22433,32468,61515,74059,70444,69313,58469,45422,35570,18082,13288,27101,56539,92880,190104,264702,252276,290697,270058,149865,128640,70199,10574,15423,25284,33762,53889,88279,83578,83683,68091,50713,44103,26407,192,2025-10-24T15:16:10.363-05:00
10112,14518,22431,32467,61559,74165,70585,69429,58520,45428,35547,18056,13288,27073,56526,92874,190149,264763,252531,290977,270278,149803,128581,70143,10569,15420,25290,33765,53950,88468,83799,83886,68202,50727,44100,26384,193,2025-10-24T15:16:10.409-05:00
10136,14551,22422,32473,61621,74302,70738,69566,58576,45433,35538,18063,13289,27098,56505,92844,190210,264963,252809,291286,270473,149823,128549,70109,10553,15431,25312,33778,54020,88649,84039,84118,68297,50762,44091,26407,193,2025-10-24T15:16:10.409-05:00
10141,14541,22423,32477,61692,74412,70887,69730,58694,45476,35577,18079,13284,27082,56492,92834,190392,265101,253195,291650,270769,150015,128626,70197,10563,15435,25287,33782,54101,88845,84304,84371,68499,50820,44125,26427,194,2025-10-24T15:16:10.506-05:00
10101,14553,22425,32485,61772,74548,71070,69897,58846,45549,35617,18071,13318,27016,56457,92802,190365,265298,253470,292058,271196,150227,128713,70247,10538,15413,25282,33805,54184,89027,84551,84646,68728,50904,44152,26453,194,2025-10-24T15:16:10.506-05:00
10121,14537,22449,32511,61870,74680,71234,70051,58928,45543,35588,18076,13282,27068,56479,92830,190956,265560,253826,292399,271375,150177,128565,70111,10561,15417,25302,33817,54379,89250,84818,84942,68899,50922,44141,26423,195,2025-10-24T15:16:10.617-05:00
10170,14552,22458,32543,61975,74821,71401,70235,59077,45573,35617,18064,13288,27097,56560,92827,191522,265786,254138,292771,271784,150321,128548,70160,10575,15427,25321,33835,54567,89468,85088,85231,69113,50952,44134,26414,195,2025-10-24T15:16:10.617-05:00
10138,14563,22462,32535,62062,74947,71562,70391,59226,45640,35660,18108,13293,27098,56537,92811,191706,265993,254352,293162,272203,150610,128732,70300,10577,15430,25316,33847,54666,89675,85330,85501,69344,51043,44195,26465,196,2025-10-24T15:16:10.647-05:00
10127,14549,22462,32545,62128,75066,71708,70553,59286,45651,35661,18094,13285,27062,56479,92762,191740,266169,254614,293501,272412,150637,128655,70228,10566,15420,25312,33855,54722,89813,85563,85758,69464,51088,44177,26460,196,2025-10-24T15:16:10.647-05:00
10120,14565,22464,32565,62206,75174,71831,70668,59345,45670,35642,18091,13270,27068,56501,92784,191925,266389,254828,293719,272571,150651,128654,70239,10554,15438,25315,33865,54804,90010,85764,85957,69535,51123,44194,26447,197,2025-10-24T15:16:10.714-05:00
10125,14563,22432,32554,62229,75249,71962,70785,59448,45724,35694,18107,13250,27043,56433,92724,191676,266519,255019,294011,272814,150877,128768,70338,10556,15415,25303,33869,54801,90115,85921,86152,69729,51173,44211,26496,197,2025-10-24T15:16:10.714-05:00
10095,14553,22448,32556,62285,75349,72078,70907,59498,45713,35686,18090,13292,27022,56415,92738,191723,266538,255290,294286,273026,150858,128691,70255,10559,15412,25305,33874,54850,90342,86107,86364,69809,51198,44220,26483,198,2025-10-24T15:16:10.770-05:00
10103,14546,22443,32563,62320,75431,72193,71017,59559,45745,35690,18125,13249,27021,56394,92716,191711,266716,255452,294535,273138,150934,128724,70305,10563,15421,25297,33888,54884,90479,86290,86550,69906,51245,44223,26486,198,2025-10-24T15:16:10.770-05:00
10104,14516,22420,32548,62360,75498,72308,71124,59628,45772,35732,18124,13251,26977,56319,92680,191440,266779,255658,294735,273416,151118,128789,70405,10555,15419,25284,33881,54847,90577,86472,86721,70034,51309,44262,26511,199,2025-10-24T15:16:10.864-05:00
10107,14523,22409,32547,62387,75544,72414,71254,59644,45786,35721,18111,13245,26946,56276,92641,191461,266778,255888,294894,273408,151079,128776,70372,10561,15405,25283,33886,54868,90601,86626,86891,70035,51295,44238,26504,199,2025-10-24T15:16:10.864-05:00
10114,14537,22420,32550,62253,75230,72206,71087,59403,45740,35715,18126,13240,26988,56336,92659,191161,265941,255288,294401,272532,150854,128773,70431,10565,15418,25297,33863,54677,89973,86178,86519,69579,51145,44201,26507,200,2025-10-24T15:16:10.978-05:00
10112,14522,22404,32517,61984,74763,71600,70550,59072,45677,35717,18111,13263,27000,56325,92693,190195,264969,253969,292936,271577,150616,128816,70438,10522,15380,25272,33830,54279,89145,85052,85493,68995,51035,44233,26502,200,2025-10-24T15:16:10.978-05:00
10136,14528,22385,32488,61842,74521,71137,70094,58897,45625,35670,18112,13260,26979,56306,92679,189678,264528,253142,291985,271133,150465,128711,70372,10569,15410,25264,33807,54070,88829,84312,84767,68740,50973,44186,26484,201,2025-10-24T15:16:11.039-05:00
