660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
54536,56220,47633,40182,39197,52304,55941,61646,61897,63045,61109,60697,125531,131591,108320,98224,81725,128241,150557,179546,162920,163745,139379,154294,60798,57265,46135,39396,38345,55695,64426,65112,67011,66711,59783,60117,62,2025-10-20T12:07:41.903-05:00
54530,56195,47621,40164,39204,52314,55945,61623,61879,63019,61105,60684,125549,131531,108310,98202,81723,128237,150556,179549,162914,163676,139333,154247,60811,57230,46117,39388,38343,55673,64406,65123,67006,66664,59745,60106,62,2025-10-20T12:07:41.903-05:00
54494,56182,47629,40158,39196,52309,55931,61634,61899,63048,61174,60736,125451,131510,108298,98235,81723,128239,150598,179573,162945,163797,139459,154332,60758,57215,46125,39387,38339,55678,64418,65103,67009,66739,59848,60201,63,2025-10-20T12:07:41.969-05:00
54476,56163,47623,40176,39202,52301,55942,61652,61912,63091,61215,60783,125362,131465,108307,98264,81726,128234,150621,179596,162942,163874,139529,154434,60724,57224,46119,39397,38342,55691,64425,65116,67011,66800,59914,60244,63,2025-10-20T12:07:41.969-05:00
54465,56166,47635,40171,39196,52312,55944,61643,61917,63084,61210,60774,125313,131468,108316,98289,81709,128204,150621,179585,162969,163868,139518,154403,60720,57208,46121,39402,38338,55675,64413,65117,67014,66782,59884,60217,64,2025-10-20T12:07:42.045-05:00
54475,56165,47642,40174,39205,52312,55947,61633,61906,63070,61160,60742,125339,131473,108319,98274,81726,128230,150611,179590,162935,163798,139425,154338,60733,57224,46112,39387,38343,55679,64422,65129,67019,66737,59830,60168,64,2025-10-20T12:07:42.045-05:00
54460,56177,47616,40161,39207,52303,55950,61631,61868,63028,61117,60710,125300,131455,108293,98254,81695,128236,150585,179572,162957,163652,139307,154248,60717,57214,46106,39391,38337,55686,64436,65133,66982,66682,59761,60114,65,2025-10-20T12:07:42.088-05:00
54476,56166,47615,40167,39200,52315,55962,61637,61878,63016,61107,60692,125327,131437,108295,98237,81708,128232,150611,179613,162979,163647,139314,154235,60714,57210,46102,39382,38341,55691,64431,65130,66996,66681,59765,60114,65,2025-10-20T12:07:42.088-05:00
54487,56192,47626,40170,39190,52311,55947,61631,61880,63039,61125,60703,125397,131489,108294,98258,81700,128218,150609,179603,162976,163709,139318,154255,60750,57217,46111,39373,38334,55678,64424,65144,67008,66691,59771,60127,66,2025-10-20T12:07:42.145-05:00
54508,56187,47631,40166,39189,52310,55941,61648,61910,63052,61164,60758,125432,131540,108316,98257,81663,128178,150591,179574,162994,163755,139429,154352,60779,57243,46112,39383,38334,55675,64426,65143,67025,66743,59836,60189,66,2025-10-20T12:07:42.145-05:00
54531,56218,47650,40165,39181,52303,55950,61651,61927,63105,61222,60789,125539,131609,108326,98270,81631,128164,150593,179612,162971,163846,139502,154429,60811,57266,46137,39388,38312,55665,64424,65140,67024,66790,59904,60257,67,2025-10-20T12:07:42.212-05:00
54563,56240,47654,40163,39170,52310,55952,61671,61955,63110,61268,60847,125572,131671,108388,98297,81640,128165,150618,179617,163028,163931,139619,154467,60822,57291,46148,39386,38306,55651,64415,65144,67037,66845,59981,60324,67,2025-10-20T12:07:42.212-05:00
54556,56246,47663,40170,39155,52306,55961,61672,61979,63171,61337,60902,125581,131681,108385,98316,81614,128118,150586,179624,163019,164021,139698,154545,60826,57310,46149,39390,38301,55645,64423,65153,67057,66901,60044,60387,68,2025-10-20T12:07:42.327-05:00
54567,56247,47677,40179,39161,52296,55960,61690,61998,63214,61406,60953,125589,131714,108418,98352,81601,128111,150595,179628,163055,164153,139802,154673,60823,57310,46170,39401,38287,55638,64416,65131,67060,66974,60132,60465,68,2025-10-20T12:07:42.327-05:00
54568,56262,47675,40185,39156,52309,55959,61705,62042,63283,61464,61031,125546,131689,108430,98361,81567,128079,150574,179628,163103,164269,139979,154769,60836,57326,46177,39405,38288,55635,64410,65119,67104,67080,60257,60591,69,2025-10-20T12:07:42.396-05:00
54558,56272,47680,40186,39149,52294,55968,61724,62067,63317,61538,61076,125536,131686,108433,98380,81566,128063,150571,179612,163102,164409,140118,154880,60833,57333,46186,39408,38275,55623,64409,65114,67138,67161,60346,60654,69,2025-10-20T12:07:42.396-05:00
54544,56284,47687,40196,39149,52300,55983,61761,62095,63367,61591,61135,125532,131713,108478,98414,81550,128095,150586,179674,163149,164455,140191,154914,60836,57340,46191,39429,38275,55620,64413,65117,67124,67218,60415,60725,70,2025-10-20T12:07:42.415-05:00
54546,56264,47687,40193,39148,52298,55984,61746,62114,63380,61588,61137,125526,131705,108480,98431,81519,128062,150552,179649,163161,164482,140220,154944,60814,57331,46195,39431,38266,55596,64398,65125,67150,67218,60437,60749,70,2025-10-20T12:07:42.415-05:00
54596,56297,47705,40212,39134,52303,55970,61771,62124,63407,61642,61191,125631,131820,108500,98471,81526,128046,150586,179686,163166,164543,140317,154989,60867,57384,46209,39433,38261,55606,64408,65137,67157,67262,60481,60799,71,2025-10-20T12:07:42.530-05:00
