660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
56148,61072,59063,52125,49947,54434,58731,58312,61012,65424,65250,71105,120771,128305,118007,138377,117455,138037,128838,137039,112650,124155,111740,130000,63777,65299,60415,69248,63975,70104,68047,64760,69580,73929,68048,75328,33,2025-10-21T12:35:47.280-05:00
56149,61071,59061,52120,49939,54426,58728,58297,61013,65452,65262,71102,120775,128299,117993,138388,117484,138045,128848,137071,112675,124156,111730,130030,63773,65304,60419,69245,63990,70102,68064,64757,69600,73945,68056,75345,33,2025-10-21T12:35:47.280-05:00
56150,61073,59067,52125,49933,54423,58743,58318,61041,65437,65208,71065,120784,128312,118000,138399,117480,137996,128868,137077,112674,124153,111659,129996,63791,65310,60433,69278,63988,70102,68038,64774,69610,73926,68021,75279,34,2025-10-21T12:35:47.338-05:00
56109,61061,59068,52111,49984,54494,58821,58405,61064,65381,65058,70956,120716,128296,118025,138304,117421,138003,128892,137090,112679,124121,111455,129982,63751,65311,60437,69209,63933,70105,68065,64799,69633,73836,67868,75119,34,2025-10-21T12:35:47.338-05:00
56090,61098,59065,52058,49981,54522,58969,58522,61078,65352,64979,70892,120672,128314,118022,138208,117358,137977,128886,137117,112677,124082,111393,130004,63732,65331,60427,69153,63848,70063,68055,64829,69619,73783,67808,75045,35,2025-10-21T12:35:47.426-05:00
56075,61082,59043,52037,49969,54502,58989,58525,61053,65342,65014,70919,120641,128301,117997,138187,117324,137946,128879,137087,112652,124106,111424,130026,63694,65323,60395,69115,63835,70044,68043,64819,69602,73786,67818,75081,35,2025-10-21T12:35:47.426-05:00
56074,61065,59018,52034,49946,54500,58928,58474,61034,65345,65065,70953,120619,128284,117978,138190,117341,137937,128875,137101,112646,124109,111472,130026,63691,65286,60369,69122,63853,70046,68028,64782,69572,73811,67861,75137,36,2025-10-21T12:35:47.494-05:00
56080,61060,59016,52054,49942,54464,58855,58427,61019,65362,65083,70965,120643,128245,117957,138223,117394,137949,128843,137077,112664,124100,111493,130017,63687,65280,60364,69138,63874,70040,68006,64782,69578,73810,67887,75164,36,2025-10-21T12:35:47.494-05:00
56084,61046,59015,52042,49947,54473,58853,58404,61004,65357,65070,70969,120660,128268,117972,138223,117395,137938,128858,137055,112645,124082,111485,129999,63714,65284,60370,69146,63861,70039,68020,64762,69587,73822,67874,75150,37,2025-10-21T12:35:47.548-05:00
56063,61039,59025,52060,49939,54463,58840,58417,61005,65352,65070,70964,120623,128273,117932,138231,117352,137910,128825,137047,112635,124079,111485,130015,63695,65277,60380,69137,63856,70045,68010,64779,69571,73807,67890,75175,37,2025-10-21T12:35:47.548-05:00
56081,61047,59027,52057,49933,54450,58836,58412,61002,65361,65096,70974,120654,128227,117948,138221,117367,137947,128813,137062,112643,124111,111502,130021,63699,65268,60358,69142,63854,70049,68009,64763,69560,73839,67899,75179,38,2025-10-21T12:35:47.638-05:00
56083,61041,59021,52053,49942,54449,58818,58395,61010,65371,65087,70978,120656,128239,117951,138236,117385,137954,128833,137033,112651,124087,111496,130018,63697,65259,60365,69147,63880,70055,68006,64764,69558,73822,67894,75170,38,2025-10-21T12:35:47.638-05:00
56069,61038,59018,52051,49936,54457,58827,58401,61012,65358,65070,70963,120641,128222,117941,138207,117348,137929,128802,137041,112640,124125,111470,130008,63678,65246,60359,69132,63869,70047,68018,64758,69575,73815,67865,75145,39,2025-10-21T12:35:47.676-05:00
56074,61036,59011,52036,49950,54465,58836,58420,61009,65377,65085,70970,120638,128264,117918,138219,117350,137932,128782,137058,112672,124092,111478,130049,63684,65261,60360,69135,63870,70049,68001,64762,69573,73820,67891,75151,39,2025-10-21T12:35:47.676-05:00
56070,61030,59020,52041,49922,54474,58817,58399,61013,65378,65096,70986,120626,128245,117935,138201,117350,137923,128763,137026,112656,124117,111521,130030,63687,65246,60356,69147,63873,70042,67994,64748,69557,73811,67909,75165,40,2025-10-21T12:35:47.763-05:00
56077,61036,59010,52050,49933,54445,58789,58381,61004,65381,65117,71012,120636,128235,117897,138219,117350,137950,128776,137030,112654,124116,111541,130032,63681,65239,60337,69142,63871,70055,68003,64753,69563,73831,67923,75205,40,2025-10-21T12:35:47.763-05:00
56081,61037,59009,52064,49926,54437,58774,58363,60988,65380,65142,71007,120636,128234,117921,138254,117388,137957,128783,137005,112675,124122,111532,130027,63694,65250,60340,69159,63892,70048,68010,64736,69550,73829,67926,75208,41,2025-10-21T12:35:47.821-05:00
56093,61027,59008,52068,49930,54432,58771,58344,60996,65384,65152,71039,120677,128240,117881,138244,117378,137946,128762,137010,112668,124108,111571,130023,63695,65254,60351,69160,63887,70047,68001,64734,69554,73866,67965,75231,41,2025-10-21T12:35:47.821-05:00
56090,61037,59011,52060,49919,54419,58752,58337,60990,65390,65171,71048,120655,128224,117876,138210,117378,137920,128793,137006,112668,124111,111571,130029,63707,65236,60339,69167,63890,70053,67998,64742,69567,73864,67976,75254,42,2025-10-21T12:35:47.902-05:00
56100,61029,59020,52078,49930,54439,58756,58340,60993,65381,65162,71052,120659,128204,117929,138282,117357,137937,128762,137017,112691,124098,111578,130054,63712,65248,60368,69193,63908,70064,68010,64745,69565,73859,67978,75257,42,2025-10-21T12:35:47.902-05:00
56092,61033,59003,52070,49933,54434,58764,58338,60995,65407,65165,71043,120640,128209,117863,138246,117392,137980,128759,137019,112683,124132,111569,130052,63694,65255,60348,69171,63912,70063,68025,64751,69568,73870,67970,75265,43,2025-10-21T12:35:47.970-05:00
56105,61012,58988,52063,49926,54426,58739,58335,61001,65397,65176,71058,120644,128175,117863,138207,117388,137946,128741,137006,112691,124112,111557,130053,63704,65233,60331,69158,63911,70075,68017,64732,69560,73891,67979,75280,43,2025-10-21T12:35:47.970-05:00
56093,61021,59009,52066,49922,54426,58744,58332,61005,65413,65175,71084,120659,128181,117882,138220,117401,137975,128791,136993,112700,124118,111581,130047,63697,65231,60345,69188,63916,70082,68046,64744,69569,73885,67993,75294,44,2025-10-21T12:35:48.028-05:00
56093,61016,58996,52095,49928,54440,58734,58319,60994,65421,65199,71072,120630,128189,117871,138249,117394,137951,128751,137034,112682,124099,111590,130051,63680,65218,60338,69204,63928,70084,68024,64751,69570,73866,68004,75306,44,2025-10-21T12:35:48.028-05:00
56087,61003,58996,52084,49928,54423,58731,58308,60981,65411,65220,71102,120616,128186,117852,138220,117402,137986,128739,137035,112686,124127,111603,130073,63689,65210,60347,69181,63927,70091,68029,64746,69554,73899,68014,75325,45,2025-10-21T12:35:48.130-05:00
56097,61011,59006,52079,49927,54439,58735,58306,60993,65433,65238,71120,120637,128200,117851,138229,117413,137973,128736,137005,112692,124130,111626,130057,63695,65215,60346,69199,63934,70106,68029,64735,69564,73915,68050,75349,45,2025-10-21T12:35:48.130-05:00
56088,61021,59017,52095,49931,54425,58719,58288,61002,65417,65222,71118,120623,128190,117848,138256,117400,137995,128739,137001,112703,124099,111609,130083,63713,65221,60353,69211,63945,70104,68036,64745,69560,73907,68043,75347,46,2025-10-21T12:35:48.150-05:00
