660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
65063,76699,72342,70633,59263,66460,75533,71734,53200,58019,73267,82165,107160,142103,143346,146353,138725,136487,157986,167351,113222,109917,132266,168265,61112,74800,71219,80806,73333,74265,74777,70786,58846,58169,65364,81859,101,2025-10-20T11:48:22.269-05:00
65035,76657,72312,70631,59239,66418,75509,71729,53208,58023,73347,82207,107173,142020,143262,146317,138699,136491,157914,167342,113209,109953,132421,168399,61106,74753,71172,80771,73275,74226,74745,70771,58859,58195,65499,81989,101,2025-10-20T11:48:22.269-05:00
64928,76493,72181,70537,59148,66327,75418,71716,53263,58082,73455,82312,107163,141676,142970,146072,138671,136412,157862,167350,113319,110021,132640,168587,61034,74570,70994,80572,73153,74111,74711,70814,58932,58279,65720,82181,102,2025-10-20T11:48:22.303-05:00
64880,76429,72082,70456,59107,66303,75285,71671,53332,58155,73431,82304,107146,141561,142765,145867,138584,136406,157781,167332,113451,110182,132608,168603,60989,74472,70855,80415,73055,74056,74603,70776,59019,58408,65736,82197,102,2025-10-20T11:48:22.303-05:00
64895,76466,72109,70470,59137,66304,75289,71657,53304,58122,73400,82265,107136,141638,142818,145930,138566,136376,157790,167319,113414,110169,132559,168536,60973,74517,70870,80446,73092,74050,74578,70747,58986,58383,65618,82094,103,2025-10-20T11:48:22.363-05:00
64902,76525,72181,70516,59163,66335,75371,71678,53253,58077,73361,82211,107112,141764,143002,146051,138579,136394,157914,167374,113336,110077,132483,168466,60993,74585,70979,80558,73133,74067,74611,70734,58905,58313,65545,82034,103,2025-10-20T11:48:22.363-05:00
64921,76532,72192,70525,59165,66353,75415,71668,53222,58057,73333,82201,107136,141836,143037,146089,138588,136390,157893,167379,113267,109972,132413,168382,60998,74603,71006,80595,73149,74104,74629,70733,58866,58259,65496,81973,104,2025-10-20T11:48:22.423-05:00
64919,76530,72202,70536,59178,66323,75399,71680,53214,58034,73317,82196,107142,141814,143054,146117,138569,136396,157869,167325,113223,109896,132350,168360,60997,74589,71012,80596,73156,74080,74627,70717,58853,58229,65469,81945,104,2025-10-20T11:48:22.423-05:00
64925,76550,72215,70536,59194,66335,75400,71671,53212,58024,73317,82200,107125,141793,143069,146117,138592,136355,157881,167354,113201,109854,132328,168364,60993,74609,71027,80616,73163,74092,74647,70701,58858,58210,65463,81947,105,2025-10-20T11:48:22.513-05:00
64915,76535,72211,70539,59169,66334,75411,71671,53186,58009,73305,82182,107120,141779,143050,146099,138582,136339,157869,167363,113194,109836,132312,168347,60998,74586,71033,80611,73147,74093,74635,70740,58832,58203,65452,81941,105,2025-10-20T11:48:22.513-05:00
