660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
62369,68012,64338,63295,54960,60885,72044,68711,46001,52805,68422,76272,108014,128137,118215,122102,119436,109599,142501,150617,90548,92237,117860,151062,54884,63806,59912,70835,66106,64092,69968,65603,49225,49077,57706,74612,166,2025-10-20T11:51:35.347-05:00
62381,68030,64337,63248,54935,60847,71963,68665,45936,52561,68396,76381,108020,128142,118220,122114,119513,109686,142229,150537,90500,91953,117587,151312,54876,63817,59913,70805,66098,64039,69842,65543,49187,48911,57629,74764,166,2025-10-20T11:51:35.347-05:00
62464,68069,64306,63137,54636,60525,71719,68309,45842,52498,69288,78055,108086,128253,118241,122103,119452,109636,141822,150079,90341,91945,118948,155038,54954,63878,59924,70715,65937,63769,69587,65228,49053,48852,58568,76899,167,2025-10-20T11:51:35.421-05:00
62497,68086,64245,63033,54430,60302,71408,68020,45800,52549,69732,78741,108145,128331,118247,122062,119556,109761,141255,149727,90279,91900,119581,156572,55010,63953,59927,70644,65843,63630,69254,64998,48980,48998,59031,77691,167,2025-10-20T11:51:35.421-05:00
62606,68161,64234,62977,54236,60117,71241,67890,45830,52619,70185,79081,108276,128551,118365,122140,119640,109879,140905,149550,90344,91902,120470,157401,55103,64072,59983,70631,65767,63521,69064,64892,49001,49098,59557,78231,168,2025-10-20T11:51:35.470-05:00
62580,68168,64237,62995,54445,60405,71314,68019,45897,52920,70478,78965,108231,128569,118423,122210,119783,109955,140895,149640,90381,92119,121314,157282,55107,64075,60015,70648,65836,63713,69102,64991,49071,49323,59922,78163,168,2025-10-20T11:51:35.470-05:00
62411,68088,64237,63101,54721,60773,71811,68621,46178,53275,70126,77880,107998,128442,118399,122253,119817,109903,141763,150297,90772,92381,121183,154823,55002,63996,59975,70714,65941,63948,69623,65502,49363,49610,59628,76885,169,2025-10-20T11:51:35.556-05:00
62574,68243,64369,63133,54428,60436,71903,68511,46019,53489,69955,78138,108096,128689,118727,122460,119858,109884,141874,149881,90297,92532,120407,155274,55058,64134,60113,70806,65922,63769,69710,65335,49202,49601,59316,77095,169,2025-10-20T11:51:35.556-05:00
62471,68156,64247,63082,54550,60598,71732,68381,45794,52961,69644,78186,108011,128585,118724,122438,120046,109995,141362,149757,90004,91968,119266,155378,55014,64074,60061,70732,65976,63916,69494,65278,49052,49216,58712,77016,170,2025-10-20T11:51:35.590-05:00
62419,68159,64280,63173,55019,61113,72015,68455,45606,52469,69518,77929,107920,128603,118843,122541,120219,110113,141833,149793,89753,91679,119025,154759,54976,64061,60088,70826,66232,64304,69836,65419,48969,48900,58531,76581,170,2025-10-20T11:51:35.590-05:00
