660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
60421,74797,73125,69378,58700,66810,70040,59664,65829,76536,69093,59929,120078,151162,138860,164284,139511,141916,157597,137380,126682,169743,150482,142690,60962,74668,73695,85500,71101,73108,72102,59624,62025,76831,69978,61591,125,2025-11-17T10:46:17.041-06:00
60410,74788,73130,69404,58727,66821,70037,59680,65810,76559,69097,59922,120056,151125,138844,164268,139537,141915,157619,137376,126661,169722,150489,142656,60945,74651,73672,85532,71125,73117,72127,59630,62020,76812,69968,61587,125,2025-11-17T10:46:17.041-06:00
60395,74778,73119,69416,58746,66854,70064,59686,65834,76576,69072,59886,120015,151110,138877,164313,139534,141933,157642,137404,126718,169766,150434,142586,60946,74645,73693,85542,71119,73153,72128,59635,62014,76829,69953,61544,126,2025-11-17T10:46:17.101-06:00
60404,74825,73143,69424,58753,66898,70098,59691,65834,76562,69045,59860,120020,151176,138922,164287,139559,141963,157709,137469,126744,169789,150425,142508,60952,74678,73735,85579,71155,73169,72168,59629,62018,76788,69930,61527,126,2025-11-17T10:46:17.101-06:00
60430,74843,73155,69419,58756,66922,70120,59701,65847,76568,69057,59876,120045,151234,138973,164320,139591,141972,157739,137465,126754,169807,150483,142543,60973,74709,73756,85597,71177,73190,72166,59631,62016,76800,69952,61534,127,2025-11-17T10:46:17.216-06:00
60439,74870,73183,69426,58783,66922,70159,59706,65839,76582,69064,59872,120078,151270,138954,164354,139586,141961,157811,137510,126747,169840,150472,142520,60991,74735,73774,85622,71175,73203,72202,59648,62012,76816,69937,61527,127,2025-11-17T10:46:17.216-06:00
60456,74895,73199,69432,58785,66931,70144,59716,65850,76575,69050,59855,120073,151273,139011,164392,139644,141958,157809,137496,126776,169847,150453,142478,61006,74763,73797,85656,71217,73230,72220,59664,62007,76798,69928,61509,128,2025-11-17T10:46:17.255-06:00
60460,74883,73189,69446,58796,66914,70181,59721,65846,76589,69066,59873,120098,151264,139007,164374,139631,141989,157814,137566,126816,169806,150474,142545,61020,74781,73815,85658,71196,73241,72238,59672,62032,76803,69946,61530,128,2025-11-17T10:46:17.255-06:00
60463,74896,73205,69458,58783,66949,70175,59725,65858,76569,69054,59857,120119,151291,139044,164383,139587,142000,157839,137574,126826,169805,150439,142495,61014,74781,73825,85640,71208,73235,72228,59675,62033,76800,69926,61510,129,2025-11-17T10:46:17.310-06:00
60470,74889,73225,69469,58793,66960,70177,59723,65864,76576,69034,59831,120117,151303,139060,164367,139625,142007,157813,137596,126829,169815,150437,142445,61034,74808,73833,85662,71216,73248,72233,59671,62024,76800,69917,61486,129,2025-11-17T10:46:17.310-06:00
60465,74898,73224,69472,58812,66953,70195,59732,65859,76578,69033,59835,120092,151259,139096,164367,139620,142009,157878,137611,126874,169818,150441,142428,61036,74797,73842,85682,71237,73259,72254,59675,62037,76810,69913,61481,130,2025-11-17T10:46:17.409-06:00
60464,74915,73224,69465,58831,66977,70203,59741,65863,76584,69036,59828,120118,151300,139103,164399,139676,142029,157904,137624,126886,169832,150401,142394,61053,74808,73849,85687,71239,73260,72251,59681,62036,76799,69905,61474,130,2025-11-17T10:46:17.409-06:00
60483,74940,73252,69491,58837,66971,70222,59744,65869,76599,68993,59834,120128,151358,139153,164400,139665,142051,157905,137677,126927,169867,150433,142401,61064,74838,73854,85710,71262,73277,72274,59676,62060,76822,69890,61457,131,2025-11-17T10:46:17.458-06:00
60498,74956,73239,69492,58838,67011,70228,59745,65875,76592,69047,59817,120161,151381,139192,164387,139676,142046,157912,137660,126952,169879,150412,142370,61079,74852,73884,85733,71271,73298,72278,59706,62043,76817,69903,61466,131,2025-11-17T10:46:17.458-06:00
60506,74971,73265,69520,58853,67002,70240,59758,65893,76580,69028,59820,120182,151385,139176,164456,139688,142067,157936,137696,126971,169895,150418,142376,61091,74868,73892,85752,71291,73322,72292,59698,62058,76834,69916,61474,132,2025-11-17T10:46:17.521-06:00
60517,74973,73277,69511,58846,67031,70250,59759,65912,76597,69061,59843,120158,151397,139167,164411,139697,142045,157931,137759,127012,169901,150492,142447,61094,74883,73903,85734,71293,73311,72300,59709,62064,76834,69934,61504,132,2025-11-17T10:46:17.521-06:00
