660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
57836,72693,68365,70059,65322,76739,79203,63122,57971,67597,60111,53762,122504,168781,172043,218122,191471,218455,234014,210509,182974,179195,154928,148750,60148,66476,73111,78305,73197,84071,85430,65243,54447,64534,60003,54722,74,2025-11-17T10:51:04.677-06:00
57849,72727,68382,70078,65329,76748,79185,63113,57965,67580,60094,53766,122490,168784,172061,218107,191437,218399,234027,210518,182941,179141,154866,148732,60159,66527,73128,78306,73194,84077,85423,65234,54429,64527,59983,54709,74,2025-11-17T10:51:04.677-06:00
57852,72744,68392,70070,65327,76746,79173,63097,57967,67572,60057,53736,122496,168793,172055,218121,191382,218444,234017,210477,182896,179095,154812,148675,60170,66541,73142,78315,73189,84076,85424,65237,54449,64505,59975,54657,75,2025-11-17T10:51:04.737-06:00
57847,72752,68408,70076,65315,76736,79200,63098,57956,67573,60065,53734,122490,168764,172078,218067,191371,218425,233970,210530,182887,179036,154829,148673,60163,66552,73155,78326,73175,84093,85427,65235,54443,64495,59961,54690,75,2025-11-17T10:51:04.737-06:00
57854,72746,68411,70084,65331,76750,79193,63106,57960,67552,60078,53751,122510,168765,172096,218053,191385,218402,234008,210532,182792,179027,154802,148667,60178,66567,73178,78339,73204,84075,85437,65236,54438,64487,59960,54693,76,2025-11-17T10:51:04.798-06:00
57846,72752,68416,70073,65343,76748,79202,63110,57967,67558,60082,53757,122489,168778,172113,218057,191422,218383,233994,210556,182818,179005,154791,148702,60174,66577,73188,78345,73209,84080,85451,65257,54449,64487,59972,54711,76,2025-11-17T10:51:04.798-06:00
57865,72761,68435,70101,65332,76734,79199,63123,57962,67547,60057,53744,122494,168793,172096,218096,191393,218389,234054,210628,182797,178987,154764,148661,60172,66586,73197,78361,73221,84087,85463,65261,54443,64481,59949,54704,77,2025-11-17T10:51:04.862-06:00
57855,72756,68436,70102,65342,76748,79217,63124,57975,67554,60058,53751,122486,168791,172105,218081,191459,218389,234116,210663,182759,178962,154751,148665,60168,66591,73217,78379,73233,84101,85469,65265,54445,64484,59943,54699,77,2025-11-17T10:51:04.862-06:00
57838,72761,68429,70117,65345,76749,79213,63122,57960,67535,60053,53743,122483,168791,172067,218124,191419,218401,234102,210642,182740,178941,154714,148642,60173,66599,73206,78377,73231,84101,85465,65265,54440,64476,59929,54686,78,2025-11-17T10:51:04.917-06:00
57864,72778,68450,70109,65353,76723,79234,63133,57980,67529,60063,53724,122492,168821,172113,218087,191482,218373,234083,210699,182762,178957,154712,148612,60187,66629,73217,78392,73254,84088,85471,65276,54457,64481,59923,54667,78,2025-11-17T10:51:04.917-06:00
57888,72781,68462,70114,65362,76736,79224,63151,57970,67531,60032,53708,122491,168773,172124,218083,191477,218411,234037,210700,182705,178882,154674,148607,60208,66646,73230,78380,73264,84115,85490,65274,54459,64463,59908,54649,79,2025-11-17T10:51:05.014-06:00
57886,72799,68462,70129,65373,76768,79251,63151,57973,67525,60023,53701,122517,168781,172128,218044,191499,218423,234097,210773,182754,178865,154659,148576,60232,66672,73241,78393,73288,84138,85493,65295,54482,64461,59898,54631,79,2025-11-17T10:51:05.014-06:00
