660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
240754,181003,143054,163217,170101,175549,175751,206141,206639,235357,257358,291136,73199,53107,41767,38757,47470,47400,41252,53823,52991,66593,71697,98981,10603,7663,7044,7340,8544,7785,8815,9353,9849,10719,11100,15551,165,2025-11-26T14:15:22.261-06:00
240780,181058,143081,163349,170122,175484,175779,206075,206630,235367,257412,291197,73206,53110,41760,38771,47479,47371,41212,53807,52981,66590,71685,98984,10582,7674,7039,7335,8547,7778,8818,9357,9848,10725,11093,15570,165,2025-11-26T14:15:22.261-06:00
240780,181131,143130,163494,170142,175385,175728,206083,206604,235347,257366,291131,73221,53121,41789,38803,47491,47363,41213,53798,52953,66588,71689,98972,10587,7673,7049,7334,8545,7776,8808,9345,9846,10722,11092,15596,166,2025-11-26T14:15:22.320-06:00
240795,181131,143122,163516,170133,175382,175711,206021,206652,235370,257375,291115,73237,53139,41800,38814,47476,47328,41210,53797,52953,66587,71695,98971,10599,7675,7052,7357,8547,7774,8809,9350,9843,10717,11108,15582,166,2025-11-26T14:15:22.320-06:00
240769,181090,143137,163626,170144,175362,175678,206044,206621,235346,257331,291104,73217,53129,41791,38828,47488,47329,41189,53787,52968,66584,71662,98957,10591,7676,7048,7354,8555,7769,8799,9355,9841,10722,11101,15617,167,2025-11-26T14:15:22.413-06:00
240802,181168,143188,163661,170162,175301,175635,206050,206617,235362,257418,291185,73220,53144,41797,38870,47489,47302,41179,53777,52943,66607,71701,98982,10587,7683,7052,7359,8549,7768,8806,9342,9849,10718,11093,15603,167,2025-11-26T14:15:22.413-06:00
241052,181380,143212,163971,170401,175588,174973,205556,206302,235328,257464,291141,73287,53242,41919,38982,47523,47110,40897,53544,52760,66529,71684,98957,10615,7705,7099,7390,8574,7779,8756,9321,9825,10708,11084,15600,168,2025-11-26T14:15:22.470-06:00
241174,181180,143552,163957,170555,176889,173923,204798,206272,235382,257511,291196,73303,53246,42036,39014,47577,47278,40449,53177,52762,66548,71725,99003,10603,7714,7131,7419,8598,7838,8708,9280,9817,10714,11107,15610,168,2025-11-26T14:15:22.470-06:00
241181,181192,143582,163983,170622,177245,173790,204726,206243,235374,257494,291184,73331,53272,42057,39021,47573,47344,40346,53126,52743,66543,71731,99007,10624,7720,7133,7409,8598,7854,8695,9278,9817,10721,11104,15595,169,2025-11-26T14:15:22.557-06:00
241195,181153,143616,163982,170613,177361,173681,204595,206240,235365,257514,291196,73330,53271,42064,39018,47576,47374,40333,53110,52739,66532,71719,98993,10626,7718,7135,7422,8600,7855,8687,9270,9825,10717,11106,15551,169,2025-11-26T14:15:22.557-06:00
241225,181185,143578,163987,170628,177509,173641,204612,206228,235382,257507,291143,73358,53292,42046,39021,47565,47403,40297,53058,52743,66540,71738,99003,10616,7711,7129,7411,8590,7875,8677,9268,9820,10707,11098,15562,170,2025-11-26T14:15:22.592-06:00
241202,181155,143571,164009,170649,177639,173660,204659,206300,235385,257530,291256,73342,53265,42051,39016,47584,47413,40306,53086,52744,66544,71736,99023,10625,7717,7128,7418,8594,7873,8674,9277,9819,10714,11105,15572,170,2025-11-26T14:15:22.592-06:00
241189,181143,143578,164013,170657,177656,173657,204632,206254,235347,257497,291204,73342,53266,42058,39020,47573,47437,40307,53090,52741,66535,71737,99013,10629,7715,7131,7399,8592,7873,8685,9267,9823,10715,11102,15554,171,2025-11-26T14:15:22.686-06:00
241192,181116,143220,163840,170512,177461,173876,204679,206479,235347,257392,291098,73310,53227,41945,38948,47574,47525,40390,53184,52870,66555,71700,98965,10620,7704,7107,7397,8579,7873,8690,9274,9831,10721,11107,15555,171,2025-11-26T14:15:22.686-06:00
240923,181139,142714,163801,170409,176334,175204,205722,206542,235366,257383,290974,73232,53161,41709,38876,47541,47496,40973,53605,52920,66585,71664,98950,10597,7690,7050,7383,8560,7820,8778,9335,9837,10723,11093,15563,172,2025-11-26T14:15:22.739-06:00
240917,181181,142759,163858,170388,176153,175226,205720,206538,235323,257392,291122,73246,53191,41744,38893,47559,47439,40989,53627,52904,66555,71688,98986,10613,7688,7054,7379,8573,7808,8776,9341,9841,10709,11094,15571,172,2025-11-26T14:15:22.739-06:00
241031,181203,142764,163954,170420,176118,175217,205699,206513,235331,257400,291095,73263,53197,41738,38890,47541,47385,40982,53629,52886,66540,71680,98970,10603,7695,7053,7371,8570,7806,8781,9342,9831,10710,11090,15568,173,2025-11-26T14:15:22.798-06:00
240874,181211,142785,163953,170395,176086,175215,205735,206511,235311,257380,291115,73258,53176,41734,38904,47537,47414,40982,53632,52911,66574,71691,98972,10603,7696,7046,7383,8565,7803,8770,9335,9834,10714,11105,15573,173,2025-11-26T14:15:22.798-06:00
240988,181259,142806,164012,170385,176057,175226,205701,206515,235317,257399,291110,73275,53198,41743,38918,47544,47383,40971,53620,52903,66548,71674,98952,10603,7689,7053,7386,8567,7805,8777,9344,9838,10720,11090,15567,174,2025-11-26T14:15:22.895-06:00
240945,181274,142800,164017,170435,176090,175188,205658,206556,235361,257411,291126,73276,53196,41744,38908,47547,47399,40989,53615,52896,66557,71697,98950,10600,7691,7056,7381,8563,7802,8772,9342,9839,10714,11095,15565,174,2025-11-26T14:15:22.895-06:00
240929,181216,142849,164128,170477,176058,175181,205736,206502,235403,257474,291111,73257,53216,41770,38933,47576,47368,40929,53614,52838,66566,71696,99013,10612,7694,7063,7387,8590,7790,8777,9339,9840,10723,11095,15578,175,2025-11-26T14:15:22.926-06:00
241242,181296,143667,164394,170714,177186,174137,204970,206196,235400,257596,291233,73338,53306,42070,39088,47594,47315,40529,53246,52684,66527,71754,99020,10620,7730,7136,7424,8605,7854,8713,9287,9810,10710,11111,15567,175,2025-11-26T14:15:22.926-06:00
241541,181071,144777,163353,170822,179490,172806,204190,206153,235529,257712,291144,73403,53324,42464,38956,47602,47575,39908,52777,52624,66605,71812,99073,10627,7741,7227,7420,8622,7955,8625,9240,9812,10727,11116,15574,176,2025-11-26T14:15:23.009-06:00
241577,180378,145322,161282,170638,180279,173086,203924,206136,235568,257728,291195,73438,53204,42644,38536,47587,47721,39755,52602,52640,66592,71842,99097,10649,7733,7269,7342,8626,7990,8618,9227,9807,10726,11106,15583,176,2025-11-26T14:15:23.009-06:00
241712,180298,145285,160828,170650,180488,173235,204004,206188,235520,257680,291183,73466,53177,42640,38436,47577,47771,39739,52616,52639,66591,71839,99047,10651,7732,7267,7324,8622,8003,8621,9220,9815,10725,11106,15575,177,2025-11-26T14:15:23.080-06:00
241697,180213,145270,160664,170698,180557,173297,204039,206162,235517,257688,291190,73452,53192,42642,38389,47608,47816,39756,52635,52635,66591,71844,99080,10651,7729,7266,7310,8622,8008,8624,9226,9814,10711,11110,15592,177,2025-11-26T14:15:23.080-06:00
241711,180226,145268,160624,170658,180676,173318,204091,206171,235536,257709,291171,73440,53182,42634,38371,47566,47829,39787,52638,52635,66590,71813,99075,10651,7723,7264,7312,8607,7987,8624,9223,9816,10725,11110,15575,178,2025-11-26T14:15:23.134-06:00
241751,180238,145251,160609,170674,180750,173369,204074,206209,235511,257715,291214,73452,53159,42626,38364,47586,47851,39783,52654,52653,66595,71826,99066,10651,7727,7264,7310,8623,8008,8633,9228,9811,10728,11124,15581,178,2025-11-26T14:15:23.134-06:00
241692,180228,145185,160554,170656,180743,173389,204074,206181,235518,257619,291093,73450,53174,42621,38354,47598,47865,39814,52658,52654,66587,71809,99041,10652,7725,7257,7313,8631,7999,8608,9236,9814,10727,11112,15576,179,2025-11-26T14:15:23.196-06:00
241698,180149,145030,160477,170618,180780,173309,204060,206181,235417,257536,291177,73416,53124,42552,38297,47581,47957,39810,52677,52672,66537,71748,99020,10651,7708,7228,7299,8622,8021,8629,9234,9806,10718,11103,15566,179,2025-11-26T14:15:23.196-06:00
241381,180325,143861,160880,170516,180111,173500,204573,206360,235316,257428,291106,73373,53062,42147,38291,47533,48014,40138,52988,52781,66526,71678,98937,10629,7704,7162,7274,8593,7988,8673,9257,9828,10725,11090,15564,180,2025-11-26T14:15:23.277-06:00
241107,180812,142741,162632,170247,177447,174574,205240,206593,235253,257383,291104,73332,53125,41758,38582,47508,47729,40673,53438,52964,66574,71680,98970,10613,7684,7064,7327,8567,7869,8734,9314,9856,10719,11098,15566,180,2025-11-26T14:15:23.277-06:00
240945,181081,143047,163597,170107,175794,175754,206153,206684,235328,257238,291068,73254,53153,41773,38759,47500,47431,41165,53734,52987,66594,71668,98947,10603,7673,7049,7340,8546,7789,8809,9359,9852,10720,11068,15563,181,2025-11-26T14:15:23.342-06:00
240820,181089,143109,163768,170139,175547,175740,206092,206603,235272,257364,291009,73234,53117,41771,38798,47495,47375,41238,53843,52965,66560,71713,98964,10598,7677,7029,7364,8555,7787,8811,9350,9845,10722,11089,15567,181,2025-11-26T14:15:23.342-06:00
240891,181160,143131,163869,170176,175466,175733,206078,206590,235308,257391,291059,73247,53149,41780,38809,47502,47351,41215,53801,52958,66589,71682,98959,10599,7682,7037,7359,8555,7769,8807,9356,9839,10719,11083,15561,182,2025-11-26T14:15:23.407-06:00
240823,181149,143137,163988,170158,175386,175742,206094,206623,235332,257403,291069,73236,53135,41801,38840,47499,47335,41218,53809,52969,66585,71676,98963,10599,7685,7036,7364,8547,7774,8805,9358,9844,10727,11088,15577,182,2025-11-26T14:15:23.407-06:00
240886,181206,143171,164008,170153,175369,175667,206023,206585,235323,257417,291077,73276,53146,41802,38850,47494,47321,41165,53773,52955,66589,71683,98966,10604,7679,7053,7364,8564,7771,8796,9346,9853,10723,11100,15577,183,2025-11-26T14:15:23.461-06:00
240822,181147,143150,164056,170202,175386,175665,206055,206601,235299,257382,291122,73227,53159,41793,38855,47500,47331,41181,53783,52961,66573,71683,98947,10602,7680,7055,7366,8548,7772,8801,9350,9843,10719,11097,15560,183,2025-11-26T14:15:23.461-06:00
240860,181264,143202,164160,170268,175233,175531,205930,206514,235389,257440,291152,73284,53182,41859,38901,47526,47222,41151,53739,52880,66578,71714,98962,10606,7680,7072,7374,8561,7761,8814,9349,9844,10710,11086,15566,184,2025-11-26T14:15:23.521-06:00
