660 1,660 2,660 3,660 4,660 5,660 6,660 7,660 8,660 9,660 10,660 11,660 12,940 1,940 2,940 3,940 4,940 5,940 6,940 7,940 8,940 9,940 10,940 11,940 12,850 1,850 2,850 3,850 4,850 5,850 6,850 7,850 8,850 9,850 10,850 11,850 12,pkt_counter,timestamp_iso
359859,346367,221723,219308,184889,215684,223570,247334,231389,254163,262748,371658,108311,95104,52708,54045,56635,65484,61941,70255,60418,71340,71230,118935,20001,16067,11107,10733,10537,10244,11930,12106,11805,12369,11966,19945,75,2025-11-25T15:16:00.501-06:00
359788,346363,221661,219354,185126,216017,224180,248532,232250,254402,262708,371567,108346,95106,52722,54113,56799,65710,62294,70865,60844,71575,71281,118977,19982,16054,11129,10747,10563,10264,11975,12213,11882,12436,11979,19966,75,2025-11-25T15:16:00.501-06:00
359662,346156,221576,219405,185209,216097,224587,249458,232853,254575,262710,371447,108300,95110,52717,54138,56811,65746,62548,71256,61157,71730,71313,118945,20024,16052,11145,10750,10583,10259,12022,12283,11908,12451,11975,19985,76,2025-11-25T15:16:00.534-06:00
359741,346277,221593,219439,185191,216094,224566,249410,232861,254515,262696,371507,108336,95098,52723,54152,56834,65743,62541,71284,61213,71727,71307,118966,19999,16057,11125,10736,10576,10265,12020,12268,11928,12445,11980,19981,76,2025-11-25T15:16:00.534-06:00
359822,346250,221605,219462,185184,216030,224578,249443,232838,254538,262726,371537,108331,95157,52735,54170,56809,65743,62542,71266,61218,71724,71313,118889,19995,16050,11140,10750,10577,10265,12014,12268,11919,12464,11988,19954,77,2025-11-25T15:16:00.596-06:00
359778,346269,221615,219429,185185,216071,224549,249357,232785,254552,262732,371408,108343,95136,52736,54157,56841,65728,62526,71261,61207,71715,71286,118913,20007,16055,11128,10734,10574,10257,12003,12278,11941,12444,11976,19939,77,2025-11-25T15:16:00.596-06:00
359764,346244,221624,219459,185180,216057,224511,249394,232863,254589,262737,371458,108335,95121,52740,54152,56833,65745,62505,71235,61203,71717,71272,118936,19995,16061,11117,10752,10569,10262,12012,12273,11936,12449,11968,19937,78,2025-11-25T15:16:00.661-06:00
359740,346257,221638,219464,185189,216087,224527,249363,232832,254568,262669,371459,108348,95112,52718,54165,56816,65778,62538,71235,61225,71720,71274,118932,19993,16058,11134,10756,10583,10272,12020,12266,11924,12459,11955,19974,78,2025-11-25T15:16:00.661-06:00
359740,346261,221579,219269,184927,215760,224273,248870,232693,254562,262699,371657,108365,95114,52726,54109,56635,65472,62396,71032,61132,71684,71211,118918,19993,16063,11126,10764,10545,10229,11999,12215,11885,12448,11965,19979,79,2025-11-25T15:16:00.810-06:00
359799,346337,221707,219162,184828,215599,223731,247714,231817,254246,262709,371713,108353,95111,52714,54012,56553,65365,62089,70474,60669,71444,71219,118912,20002,16059,11115,10718,10529,10220,11952,12142,11840,12394,11965,19978,79,2025-11-25T15:16:00.810-06:00
359828,346463,221696,219154,184809,215588,223710,247673,231763,254306,262688,371692,108272,95074,52713,54026,56581,65384,62075,70444,60612,71443,71174,118915,19967,16060,11114,10731,10547,10254,11937,12122,11847,12405,11987,19964,80,2025-11-25T15:16:00.811-06:00
359779,346284,221664,219162,184815,215599,223754,247740,231738,254258,262700,371631,108331,95100,52702,54032,56580,65388,62071,70457,60601,71410,71209,118880,19978,16064,11125,10723,10536,10222,11937,12144,11851,12402,11970,19981,80,2025-11-25T15:16:00.811-06:00
359814,346292,221706,219191,184805,215609,223799,247758,231784,254277,262707,371649,108298,95090,52710,54025,56589,65381,62067,70451,60635,71448,71201,118911,19992,16041,11116,10728,10530,10208,11941,12147,11839,12416,11974,19982,81,2025-11-25T15:16:00.864-06:00
359768,346292,221691,219158,184759,215631,223766,247734,231849,254247,262681,371635,108366,95103,52693,54030,56563,65381,62092,70469,60636,71454,71197,118950,19906,16049,11123,10727,10531,10231,11937,12144,11861,12411,11973,19975,81,2025-11-25T15:16:00.864-06:00
359780,346296,221609,219154,184780,215584,223753,247695,231749,254291,262670,371664,108358,95073,52716,54032,56569,65363,62071,70447,60633,71447,71190,118877,20002,16047,11123,10722,10528,10218,11942,12126,11844,12422,11976,19978,82,2025-11-25T15:16:00.955-06:00
359901,346292,221670,219207,185004,215852,223885,247971,231788,254280,262632,371500,108341,95180,52721,54052,56707,65607,62125,70582,60616,71478,71245,118928,19996,16084,11131,10757,10564,10259,11954,12170,11835,12431,11981,19939,82,2025-11-25T15:16:00.955-06:00
359704,346189,221622,219408,185084,215912,224498,249112,232623,254452,262662,371410,108340,95076,52714,54111,56758,65670,62486,71129,61015,71663,71274,118904,20003,16058,11129,10731,10569,10250,12001,12235,11903,12443,11966,19958,83,2025-11-25T15:16:01.023-06:00
359752,346227,221605,219394,185103,215948,224430,249103,232625,254542,262699,371481,108341,95135,52722,54127,56750,65666,62434,71096,61096,71712,71260,118897,19970,16041,11117,10741,10555,10246,12002,12246,11893,12449,11965,19997,83,2025-11-25T15:16:01.023-06:00
359658,346184,221594,219389,185074,215975,224382,249043,232638,254512,262675,371503,108291,95106,52735,54116,56757,65660,62443,71083,61084,71680,71274,118909,19974,16032,11132,10738,10576,10244,11987,12247,11903,12440,11992,19986,84,2025-11-25T15:16:01.104-06:00
359698,346246,221606,219356,185109,216012,224401,249031,232622,254464,262746,371492,108313,95099,52710,54145,56763,65671,62439,71070,61068,71662,71270,118921,19990,16039,11131,10744,10558,10255,11996,12246,11902,12439,11986,19960,84,2025-11-25T15:16:01.104-06:00
359687,346261,221575,219344,185047,215979,224366,249067,232598,254480,262689,371418,108335,95082,52726,54121,56753,65666,62442,71070,61078,71660,71263,118933,19958,16062,11139,10735,10551,10258,12000,12238,11905,12440,11982,19911,85,2025-11-25T15:16:01.163-06:00
359759,346310,221646,219364,185083,215926,224414,248984,232506,254527,262633,371386,108309,95101,52721,54112,56774,65681,62440,71050,61072,71640,71304,118864,19963,16088,11121,10729,10560,10237,11999,12237,11893,12436,11979,19950,85,2025-11-25T15:16:01.163-06:00
359759,346220,221593,219278,184807,215670,224207,248754,232462,254433,262665,371600,108237,95127,52715,54075,56590,65409,62361,70911,61040,71615,71200,118895,19957,16054,11121,10729,10554,10225,11972,12208,11892,12428,11974,19982,86,2025-11-25T15:16:01.225-06:00
